#{"t_start": 1639234051.06112, "env_id": null}
r,l,t
-139.956916,60,2.153482
-258.334187,60,6.430253
-193.110432,60,10.050301
-193.224662,60,12.20353
-193.612684,60,15.204021
-177.302358,60,17.240699
-199.426409,60,19.82761
-152.456952,60,20.974165
-159.901592,60,23.570472
-234.813538,60,25.703896
-167.820109,60,28.292549
-111.535314,60,30.321819
-273.033734,60,32.894674
-209.952785,60,34.99666
-162.37414,60,37.604742
-156.471154,60,38.766
-143.676838,60,40.788918
-124.328819,60,43.388976
-200.745068,60,45.495075
-219.001871,60,48.079621
-196.912828,60,50.120249
-198.496704,60,52.714463
-127.473924,60,54.774141
-167.348202,60,56.557719
-258.997658,60,58.603499
-186.654081,60,61.399115
-285.559765,60,63.439114
-224.952295,60,66.063476
-111.72977,60,68.161676
-244.330378,60,70.782668
-197.13622,60,72.815225
-96.51453,60,74.110024
-72.662412,60,76.720984
-73.677068,60,78.78431
-124.815507,60,81.386525
-111.339888,60,83.411338
-105.952269,60,86.135158
-187.935909,60,88.254711
-148.138217,60,90.831544
-164.917482,60,91.986874
-58.413896,60,94.618701
-115.195593,60,96.696291
-81.501602,60,99.342074
-106.457968,60,101.369948
-160.752801,60,103.974268
-47.574042,60,106.009889
-92.594619,60,108.656067
-81.945548,60,109.814043
-97.909214,60,111.870411
-114.780764,60,114.481131
-94.617516,60,116.531806
-66.151921,60,119.179778
-222.223653,60,121.241256
-78.262904,60,123.861575
-118.795047,60,125.923135
-69.881593,60,127.637641
-120.306717,60,129.727604
-77.254577,60,132.374147
-163.634327,60,134.435922
-173.949518,60,137.042573
-126.718964,60,139.101035
-59.200083,60,141.718196
-32.514921,60,143.770926
-67.108826,60,144.942677
-12.003912,60,147.5615
-64.630566,60,149.616928
-111.527687,60,152.23146
-91.26413,60,154.271056
-13.661531,60,156.882799
-10.709321,60,158.949251
-31.432913,60,161.570308
-103.754464,60,162.868478
-97.466469,60,165.870842
0.100359,60,167.906566
7.372887,60,170.538117
-39.250204,60,172.746667
-76.709337,60,175.450529
-64.543204,60,177.4741
-50.252062,60,180.058532
-81.039393,60,181.203577
9.993297,60,183.275676
-34.545747,60,185.877068
-26.060959,60,187.902392
-34.239239,60,190.544197
-36.860693,60,192.59441
-8.589695,60,195.278085
-149.385159,60,197.297359
-26.934423,60,199.047123
-0.714902,60,201.103483
-56.612642,60,203.716971
-53.494656,60,205.779444
-49.09437,60,208.346935
-144.631408,60,210.379902
-64.475952,60,212.946864
-23.888109,60,215.060962
-5.489679,60,216.231735
-54.444301,60,218.814359
-43.861818,60,220.836739
-70.259421,60,223.699219
-141.095479,60,226.01634
-38.092813,60,228.872623
-85.438512,60,231.056761
-57.06312,60,233.93746
-20.445091,60,235.204969
-137.093389,60,238.068785
-89.025694,60,240.555378
-83.88395,60,243.420328
-9.285905,60,245.627502
-48.229704,60,248.510638
-78.12825,60,250.625571
-98.731347,60,253.217771
-50.535494,60,254.379398
-94.694215,60,256.421103
-29.13427,60,259.069007
-93.911813,60,261.090436
-94.143474,60,263.683153
-33.362544,60,265.722786
-22.550665,60,268.336958
-35.74267,60,270.385645
-1.79025,60,272.082442
-11.51236,60,274.143392
-27.386245,60,276.742084
-10.498689,60,278.809917
2.006915,60,281.380429
-107.711283,60,283.409633
-51.081081,60,286.006498
-39.790075,60,288.021099
-23.38534,60,289.209897
-45.999229,60,291.782462
-110.000935,60,293.803183
-51.214586,60,296.395362
-97.262823,60,298.417566
-28.977664,60,301.056135
-10.837056,60,303.079193
-13.585383,60,305.689999
-62.98604,60,306.837801
-39.134331,60,309.427418
28.882949,60,311.457292
-44.955727,60,314.065946
12.288251,60,316.099557
-3.182032,60,318.693349
-14.831318,60,320.763036
-63.703728,60,323.346421
-26.613414,60,324.505992
-92.519889,60,326.538096
23.561097,60,329.123898
-19.004435,60,331.159266
-6.26353,60,333.733782
-45.677454,60,335.794699
-4.494335,60,338.402929
-26.819002,60,340.428376
-27.471669,60,342.179825
-39.160975,60,344.22302
-19.569134,60,346.823771
-64.901947,60,348.857529
-108.287642,60,351.47081
-41.754825,60,353.535072
-50.417803,60,356.142928
-28.342964,60,358.163667
-86.623086,60,359.316868
5.259981,60,361.919064
-15.831295,60,364.004806
-42.94333,60,366.617069
-44.996525,60,368.647391
-28.42854,60,371.242309
-37.643088,60,373.300361
-2.421607,60,376.089957
-87.704722,60,377.237824
-50.15695,60,379.855785
-24.993407,60,381.88452
9.065938,60,384.607046
-38.969224,60,386.646355
11.322033,60,389.239333
-75.831858,60,391.256757
-49.809064,60,393.919823
-126.082866,60,395.100953
-24.993361,60,397.15183
-18.554073,60,399.732409
-132.986774,60,401.746225
-58.946402,60,404.354497
-31.839391,60,406.413157
18.207581,60,408.997181
-4.048828,60,411.012884
9.420686,60,412.699562
-1.337458,60,414.761761
-63.483989,60,417.395525
-33.538177,60,419.419663
-14.367273,60,422.001186
-72.848672,60,424.036581
12.900937,60,426.723331
-48.323077,60,428.75392
38.71051,60,429.891387
-79.353803,60,432.471226
-9.62461,60,434.514452
-38.245435,60,437.150226
-15.393227,60,439.19498
-9.011807,60,441.768895
1.766382,60,443.798067
-50.427017,60,446.406746
-5.533319,60,447.597479
-75.331609,60,450.215038
-59.753052,60,452.24224
0.415699,60,454.871116
-105.371206,60,457.021463
-8.333613,60,459.668026
-8.488199,60,461.71025
-28.77347,60,464.32403
-0.115603,60,465.486625
-30.124261,60,467.544839
-10.924664,60,470.205256
-36.96668,60,472.263601
47.786637,60,474.867887
-86.232228,60,476.918688
-1.232612,60,479.545908
-12.243636,60,481.586921
21.155248,60,483.28244
-62.614598,60,485.349958
-4.614074,60,487.934687
-37.08195,60,490.120424
-0.118019,60,492.738424
17.1927,60,494.780832
-16.951249,60,497.386669
0.351842,60,499.480971
-9.335815,60,500.642084
-46.015683,60,503.24205
5.710953,60,505.29781
-135.109468,60,507.8701
-0.047868,60,509.923034
-27.732935,60,512.524852
21.258161,60,514.580495
-85.0546,60,517.189429
-0.890213,60,518.340066
-58.832908,60,520.967274
39.097206,60,522.992983
27.625472,60,525.603624
5.808338,60,527.640359
-49.483557,60,530.216396
-2.969162,60,532.282349
-33.779385,60,534.901163
38.137781,60,536.077264
-57.02923,60,538.125276
18.639244,60,540.73496
