#{"t_start": 1639181709.7467341, "env_id": null}
r,l,t
20.824147,60,1.40296
31.501244,60,3.618902
27.72456,60,7.831352
28.380958,60,11.719489
22.763654,60,17.23327
39.912863,60,19.613588
25.877886,60,27.408554
31.781513,60,30.220398
23.267057,60,33.361287
27.990028,60,35.423805
39.529418,60,38.088517
39.74736,60,40.235033
31.512055,60,42.896594
27.492447,60,44.936125
30.597109,60,47.573259
31.014149,60,48.822709
27.187729,60,51.364185
40.520228,60,54.039928
39.966587,60,56.08116
42.624401,60,58.751947
38.604903,60,60.794986
44.589701,60,63.481001
42.217176,60,65.592173
39.237694,60,67.589137
34.495093,60,69.728476
39.674224,60,72.397092
38.392757,60,74.428586
39.145431,60,77.063653
32.813802,60,79.116136
36.436095,60,81.784843
40.071604,60,83.899592
36.599957,60,85.071468
34.35333,60,87.706815
41.374411,60,89.74406
36.912671,60,92.85544
46.078904,60,94.881259
33.708453,60,97.524472
42.729441,60,99.691488
36.39531,60,102.437728
34.022653,60,103.65998
45.65179,60,106.303504
31.292568,60,108.331097
41.949738,60,111.006203
31.992367,60,113.034701
36.311431,60,115.77084
44.412553,60,117.80573
31.76458,60,120.451442
41.141248,60,121.617749
38.460446,60,123.648149
34.249802,60,126.502197
42.985997,60,128.536911
41.385872,60,131.172922
36.532412,60,135.072537
43.349843,60,140.233468
40.219444,60,143.567089
38.528357,60,145.730501
41.704618,60,148.098721
37.052757,60,151.274485
42.816051,60,155.448254
30.946166,60,158.463513
36.817349,60,160.487747
45.165856,60,163.213864
37.893918,60,165.683545
34.581315,60,166.864561
40.184322,60,169.558304
32.754723,60,171.65401
38.382091,60,174.264036
29.88499,60,177.017559
37.068972,60,182.218033
31.023231,60,189.733508
42.811947,60,197.70054
45.92434,60,200.603063
28.591645,60,207.360746
38.106012,60,212.359981
42.465407,60,217.814878
51.475253,60,221.811096
42.524532,60,227.551445
38.047429,60,231.244157
47.89786,60,236.885331
41.521487,60,239.081321
46.093449,60,243.224816
44.626926,60,248.518492
41.984918,60,252.222884
40.37847,60,257.476035
44.248743,60,261.486932
42.129796,60,267.187791
41.848662,60,271.576687
45.287732,60,275.155138
46.800424,60,279.637694
41.054514,60,284.805734
46.735474,60,288.726006
44.891337,60,293.413412
44.07658,60,297.350634
43.691447,60,302.32375
22.851026,60,306.552674
43.366335,60,309.386083
50.395238,60,314.471702
29.346892,60,318.973874
46.488048,60,324.179879
38.719503,60,328.235143
41.360103,60,333.127672
40.453432,60,336.887093
43.953934,60,342.299471
37.605413,60,344.378673
20.345758,60,349.531397
26.351752,60,353.652366
39.682399,60,358.806123
33.427343,60,362.600504
34.105182,60,367.222616
45.583498,60,370.907702
45.646692,60,376.544134
45.650405,60,378.506239
42.566306,60,382.307409
42.661834,60,388.070952
39.606916,60,391.94502
34.325776,60,397.269121
45.209838,60,400.914082
45.283512,60,405.924855
46.294287,60,410.321352
41.788947,60,414.275755
48.062206,60,418.56791
41.140138,60,421.698674
35.651223,60,423.752938
46.757048,60,426.50936
37.105321,60,428.581527
40.549042,60,431.263754
44.299765,60,433.328259
38.098629,60,434.505629
37.218301,60,437.259896
40.232898,60,439.305326
43.276739,60,441.946795
49.776942,60,444.010257
45.190905,60,446.729009
39.096393,60,448.795363
34.635152,60,451.459062
42.647069,60,452.71825
33.635195,60,455.377294
35.936177,60,457.501389
44.583135,60,460.172601
43.275861,60,462.223508
40.440205,60,464.885704
44.524104,60,466.959138
42.862516,60,469.657385
43.100818,60,470.836728
40.286964,60,472.885269
34.738257,60,475.558008
43.486417,60,477.623006
37.075567,60,480.341403
37.942044,60,482.411147
35.516323,60,485.066005
40.709562,60,487.120888
33.487574,60,488.947988
35.122845,60,490.99918
36.826372,60,493.686749
37.919379,60,495.737871
33.921916,60,498.414975
43.726975,60,500.488608
40.680192,60,503.16473
42.781042,60,505.24167
35.988043,60,506.437438
37.904121,60,509.173076
37.267752,60,513.500244
40.161499,60,518.548724
40.812339,60,522.68606
45.640346,60,528.004263
42.710669,60,532.388096
41.874368,60,537.569929
35.993869,60,539.924678
40.250176,60,545.09234
36.374001,60,548.574902
42.670456,60,554.039664
39.26382,60,557.830795
46.132064,60,562.477436
36.144738,60,566.554465
42.891864,60,570.78183
37.572913,60,572.794546
41.157672,60,577.114477
42.904099,60,582.697297
42.787768,60,586.296717
42.285289,60,591.310054
45.375336,60,595.285746
42.266882,60,600.367411
43.82763,60,604.703772
40.446338,60,608.489777
47.594267,60,612.407366
50.386035,60,617.396083
43.25554,60,621.565014
31.207497,60,626.979452
43.208883,60,631.272336
40.143928,60,636.425084
48.309968,60,640.577672
48.973403,60,642.955072
46.330688,60,648.096562
43.688233,60,652.133195
50.351014,60,657.483307
41.757936,60,661.62839
40.489167,60,666.756733
39.923908,60,670.642053
39.174747,60,675.510265
42.743491,60,677.435167
33.954304,60,681.965724
33.667345,60,685.788947
33.884287,60,690.967281
48.500113,60,694.981388
46.071054,60,700.039595
42.115409,60,703.636898
46.999069,60,708.427149
45.855608,60,710.55244
34.614047,60,714.962428
34.048939,60,720.494386
48.133116,60,723.933933
45.626147,60,728.984045
44.393681,60,732.989067
48.429353,60,738.71181
47.222571,60,742.509386
45.740372,60,746.079373
46.360425,60,750.433375
38.192736,60,755.840137
39.965974,60,759.886718
42.607646,60,765.188273
45.772519,60,769.408351
43.639761,60,774.842523
41.964395,60,778.502987
48.985493,60,780.994641
48.568799,60,786.216881
43.036824,60,790.235704
44.935756,60,796.059646
37.399358,60,799.636509
45.117936,60,804.984236
45.562833,60,808.843811
43.86502,60,813.996553
41.94819,60,816.260733
37.270719,60,821.38729
44.547166,60,825.40786
41.993811,60,830.036384
32.689908,60,834.092435
46.455419,60,839.076561
38.517348,60,843.14959
44.201109,60,847.943362
39.858712,60,849.965048
40.641524,60,853.817461
43.663294,60,859.804347
40.039696,60,863.211513
43.081432,60,868.798684
45.724344,60,872.77515
42.525678,60,877.313974
27.058607,60,881.765362
46.406993,60,885.451433
51.847735,60,889.877186
45.966524,60,895.221199
42.706304,60,899.294787
42.500803,60,904.010011
42.397713,60,908.110293
41.845998,60,913.191024
42.829325,60,916.857202
45.590968,60,919.263516
44.914925,60,924.852434
33.461034,60,928.534927
41.988232,60,934.330964
45.278713,60,938.584803
39.843744,60,943.93598
43.553521,60,947.794478
42.234377,60,953.420064
36.451666,60,956.067352
40.468072,60,961.309367
42.584987,60,965.824849
44.598776,60,970.95317
34.750304,60,975.123765
34.585875,60,980.799951
46.635522,60,984.940323
39.482382,60,990.798379
48.462157,60,993.153699
48.334091,60,997.589603
46.072632,60,1002.505434
45.855327,60,1006.306241
43.135516,60,1012.097006
45.4044,60,1016.22906
43.47592,60,1021.800315
48.090491,60,1025.721115
46.982146,60,1029.371156
37.811125,60,1033.754143
42.430769,60,1039.140222
45.761937,60,1043.756868
47.924636,60,1048.859403
37.587361,60,1053.184458
44.374659,60,1058.62925
47.528713,60,1063.051772
47.500338,60,1065.473261
48.051558,60,1070.737289
49.042972,60,1074.64338
46.592545,60,1079.804746
45.813649,60,1083.830235
45.571184,60,1089.197804
48.999114,60,1093.886246
42.296119,60,1099.48996
41.91128,60,1101.80109
43.987132,60,1107.242376
40.35971,60,1111.305052
35.66361,60,1117.046754
44.760038,60,1120.804227
47.705462,60,1126.299985
48.292225,60,1130.321169
48.935178,60,1135.464865
49.545242,60,1137.865761
45.605796,60,1141.980853
50.317554,60,1147.904832
48.869266,60,1152.184175
45.806645,60,1157.61893
44.329211,60,1161.784878
39.977983,60,1167.422237
45.523104,60,1171.79326
42.15821,60,1175.397095
44.653878,60,1179.404624
37.679581,60,1184.796858
44.857112,60,1188.560835
33.918129,60,1194.21567
49.174527,60,1197.903108
42.899277,60,1203.224908
49.7986,60,1207.34262
45.969646,60,1209.713693
44.189421,60,1215.459043
47.077151,60,1219.682176
49.300005,60,1225.972194
38.649229,60,1229.977894
42.928656,60,1235.491805
47.02549,60,1239.612019
42.223879,60,1245.234984
42.27056,60,1247.798454
45.991228,60,1253.393974
43.505858,60,1258.083049
35.552549,60,1263.36949
43.750947,60,1267.772068
41.699189,60,1273.207365
47.495924,60,1277.562408
46.154955,60,1282.827826
41.112341,60,1285.335419
41.929969,60,1289.792755
37.842791,60,1294.971405
45.20417,60,1299.438126
46.301451,60,1305.090292
41.009135,60,1309.333312
37.111895,60,1314.679305
32.308189,60,1318.459596
44.490057,60,1322.018547
39.173018,60,1325.737664
40.896583,60,1331.190325
43.139057,60,1334.635614
46.392654,60,1341.527407
48.805046,60,1345.582717
45.282848,60,1350.555563
32.658219,60,1354.735278
44.660223,60,1356.917678
46.378256,60,1361.773393
